Country,Year,Metric Name, Metric Value ,Source,Source Link,corrected metric
Argentina,2021,Fine Volume,,,,
Argentina,2021,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2021,Fine Count,,,,
Argentina,2021,Fine Count per Capita,,,,
Argentina,2021,Recovered Assets,,,,
Argentina,2021,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2021,Conviction Count,,,,
Argentina,2021,Convictions per Capita,,,,
Argentina,2021,Inflation,,,,
Argentina,2021,Annual GDP,,,,
Argentina,2022,FATFA Rating,,,,
Argentina,2022,Number of SARs/STRs," 60,688.00 ",UIF Informe de Gestión 2022,https://www.argentina.gob.ar/sites/default/files/uif-informe-de-gestion-2022a.pdf,
Argentina,2022,SARs/STRs per Capita,,,,
Argentina,2022,Fine Volume,,,,
Argentina,2022,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2022,Fine Count,,,,
Argentina,2022,Fine Count per Capita,,,,
Argentina,2022,Recovered Assets,,,,
Argentina,2022,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2022,Conviction Count,,,,
Argentina,2022,Convictions per Capita,,,,
Argentina,2022,Inflation,,,,
Argentina,2022,Annual GDP,,,,
Argentina,2023,FATFA Rating,,,,
Argentina,2023,Number of SARs/STRs," 88,174.00 ",UIF Informe de Gestión 2023,https://www.argentina.gob.ar/sites/default/files/uif-informe-de-gestion-2023.pdf,
Argentina,2023,SARs/STRs per Capita,,,,
Argentina,2023,Fine Volume,,,,
Argentina,2023,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2023,Fine Count,,,,
Argentina,2023,Fine Count per Capita,,,,
Argentina,2023,Recovered Assets,,,,
Argentina,2023,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2023,Conviction Count,,,,
Argentina,2023,Convictions per Capita,,,,
Argentina,2023,Inflation,,,,
Argentina,2023,Annual GDP,,,,
Argentina,2024,FATFA Rating,,,,
Argentina,2024,Number of SARs/STRs,,,,
Argentina,2024,SARs/STRs per Capita,,,,
Argentina,2024,Fine Volume,,,,
Argentina,2024,Fine Volumen Inf. Adj. Pct of GDP,,,,
Argentina,2024,Fine Count,,,,
Argentina,2024,Fine Count per Capita,,,,
Argentina,2024,Recovered Assets,,,,
Argentina,2024,Recovered Assets Inf. Adj. Pct of GDP,,,,
Argentina,2024,Conviction Count,,,,
Argentina,2024,Convictions per Capita,,,,
Argentina,2024,Inflation,,,,
Argentina,2024,Annual GDP,,,,
Australia,2014,FATFA Rating,,,,
Australia,2014,Number of SARs/STRs," 226,000.00 ",AUSTRAC Annual Report 2014–15,,
Australia,2014,SARs/STRs per Capita,,,,
Australia,2014,Fine Volume,,,,
Australia,2014,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2014,Fine Count,,,,
Australia,2014,Fine Count per Capita,,,,
Australia,2014,Recovered Assets,,,,
Australia,2014,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2014,Conviction Count,,,,
Australia,2014,Convictions per Capita,,,,
Australia,2014,Inflation,,,,
Australia,2014,Annual GDP,,,,
Australia,2015,FATFA Rating,,,,
Australia,2015,Number of SARs/STRs," 272,000.00 ",AUSTRAC Annual Report 2015–16,,
Australia,2015,SARs/STRs per Capita,,,,
Australia,2015,Fine Volume,,,,
Australia,2015,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2015,Fine Count,,,,
Australia,2015,Fine Count per Capita,,,,
Australia,2015,Recovered Assets,,,,
Australia,2015,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2015,Conviction Count,,,,
Australia,2015,Convictions per Capita,,,,
Australia,2015,Inflation,,,,
Australia,2015,Annual GDP,,,,
Australia,2016,FATFA Rating,,,,
Australia,2016,Number of SARs/STRs," 325,000.00 ",AUSTRAC Annual Report 2016–17,,
Australia,2016,SARs/STRs per Capita,,,,
Australia,2016,Fine Volume,,,,
Australia,2016,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2016,Fine Count,,,,
Australia,2016,Fine Count per Capita,,,,
Australia,2016,Recovered Assets,,,,
Australia,2016,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2016,Conviction Count,,,,
Australia,2016,Convictions per Capita,,,,
Australia,2016,Inflation,,,,
Australia,2016,Annual GDP,,,,
Australia,2017,FATFA Rating,,,,
Australia,2017,Number of SARs/STRs," 353,000.00 ",AUSTRAC Annual Report 2017–18,,
Australia,2017,SARs/STRs per Capita,,,,
Australia,2017,Fine Volume,,,,
Australia,2017,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2017,Fine Count,,,,
Australia,2017,Fine Count per Capita,,,,
Australia,2017,Recovered Assets,,,,
Australia,2017,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2017,Conviction Count,,,,
Australia,2017,Convictions per Capita,,,,
Australia,2017,Inflation,,,,
Australia,2017,Annual GDP,,,,
Australia,2018,FATFA Rating,,,,
Australia,2018,Number of SARs/STRs," 375,000.00 ",AUSTRAC Annual Report 2018–19,,
Australia,2018,SARs/STRs per Capita,,,,
Australia,2018,Fine Volume,,,,
Australia,2018,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2018,Fine Count,,,,
Australia,2018,Fine Count per Capita,,,,
Australia,2018,Recovered Assets,,,,
Australia,2018,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2018,Conviction Count,,,,
Australia,2018,Convictions per Capita,,,,
Australia,2018,Inflation,,,,
Australia,2018,Annual GDP,,,,
Australia,2019,FATFA Rating,,,,
Australia,2019,Number of SARs/STRs," 360,000.00 ",AUSTRAC Annual Report 2019–20,,
Australia,2019,SARs/STRs per Capita,,,,
Australia,2019,Fine Volume,,,,
Australia,2019,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2019,Fine Count,,,,
Australia,2019,Fine Count per Capita,,,,
Australia,2019,Recovered Assets,,,,
Australia,2019,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2019,Conviction Count,,,,
Australia,2019,Convictions per Capita,,,,
Australia,2019,Inflation,,,,
Australia,2019,Annual GDP,,,,
Australia,2020,FATFA Rating,,,,
Australia,2020,Number of SARs/STRs," 428,000.00 ",AUSTRAC Annual Report 2020–21,,
Australia,2020,SARs/STRs per Capita,,,,
Australia,2020,Fine Volume,,,,
Australia,2020,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2020,Fine Count,,,,
Australia,2020,Fine Count per Capita,,,,
Australia,2020,Recovered Assets,,,,
Australia,2020,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2020,Conviction Count,,,,
Australia,2020,Convictions per Capita,,,,
Australia,2020,Inflation,,,,
Australia,2020,Annual GDP,,,,
Australia,2021,FATFA Rating,,,,
Australia,2021,Number of SARs/STRs,,(report 2021–22 pending),,
Australia,2021,SARs/STRs per Capita,,,,
Australia,2021,Fine Volume,,,,
Australia,2021,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2021,Fine Count,,,,
Australia,2021,Fine Count per Capita,,,,
Australia,2021,Recovered Assets,,,,
Australia,2021,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2021,Conviction Count,,,,
Australia,2021,Convictions per Capita,,,,
Australia,2021,Inflation,,,,
Australia,2021,Annual GDP,,,,
Australia,2022,FATFA Rating,,,,
Australia,2022,Number of SARs/STRs,,,,
Australia,2022,SARs/STRs per Capita,,,,
Australia,2022,Fine Volume,,,,
Australia,2022,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2022,Fine Count,,,,
Australia,2022,Fine Count per Capita,,,,
Australia,2022,Recovered Assets,,,,
Australia,2022,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2022,Conviction Count,,,,
Australia,2022,Convictions per Capita,,,,
Australia,2022,Inflation,,,,
Australia,2022,Annual GDP,,,,
Australia,2023,FATFA Rating,,,,
Australia,2023,Number of SARs/STRs,,,,
Australia,2023,SARs/STRs per Capita,,,,
Australia,2023,Fine Volume,,,,
Australia,2023,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2023,Fine Count,,,,
Australia,2023,Fine Count per Capita,,,,
Australia,2023,Recovered Assets,,,,
Australia,2023,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2023,Conviction Count,,,,
Australia,2023,Convictions per Capita,,,,
Australia,2023,Inflation,,,,
Australia,2023,Annual GDP,,,,
Australia,2024,FATFA Rating,,,,
Australia,2024,Number of SARs/STRs,,,,
Australia,2024,SARs/STRs per Capita,,,,
Australia,2024,Fine Volume,,,,
Australia,2024,Fine Volumen Inf. Adj. Pct of GDP,,,,
Australia,2024,Fine Count,,,,
Australia,2024,Fine Count per Capita,,,,
Australia,2024,Recovered Assets,,,,
Australia,2024,Recovered Assets Inf. Adj. Pct of GDP,,,,
Australia,2024,Conviction Count,,,,
Australia,2024,Convictions per Capita,,,,
Australia,2024,Inflation,,,,
Australia,2024,Annual GDP,,,,
Austria,2014,FATFA Rating,,,,
Austria,2014,Number of SARs/STRs,,,,
Austria,2014,SARs/STRs per Capita,,,,
Austria,2014,Fine Volume,,,,
Austria,2014,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2014,Fine Count,,,,
Austria,2014,Fine Count per Capita,,,,
Austria,2014,Recovered Assets,,,,
Austria,2014,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2014,Conviction Count,,,,
Austria,2014,Convictions per Capita,,,,
Austria,2014,Inflation,,,,
Austria,2014,Annual GDP,,,,
Austria,2015,FATFA Rating,,,,
Austria,2015,Number of SARs/STRs,,,,
Austria,2015,SARs/STRs per Capita,,,,
Austria,2015,Fine Volume,,,,
Austria,2015,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2015,Fine Count,,,,
Austria,2015,Fine Count per Capita,,,,
Austria,2015,Recovered Assets,,,,
Austria,2015,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2015,Conviction Count,,,,
Austria,2015,Convictions per Capita,,,,
Austria,2015,Inflation,,,,
Austria,2015,Annual GDP,,,,
Austria,2016,FATFA Rating,,,,
Austria,2016,Number of SARs/STRs,,,,
Austria,2016,SARs/STRs per Capita,,,,
Austria,2016,Fine Volume,,,,
Austria,2016,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2016,Fine Count,,,,
Austria,2016,Fine Count per Capita,,,,
Austria,2016,Recovered Assets,,,,
Austria,2016,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2016,Conviction Count,,,,
Austria,2016,Convictions per Capita,,,,
Austria,2016,Inflation,,,,
Austria,2016,Annual GDP,,,,
Austria,2017,FATFA Rating,,,,
Austria,2017,Number of SARs/STRs,,,,
Austria,2017,SARs/STRs per Capita,,,,
Austria,2017,Fine Volume,,,,
Austria,2017,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2017,Fine Count,,,,
Austria,2017,Fine Count per Capita,,,,
Austria,2017,Recovered Assets,,,,
Austria,2017,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2017,Conviction Count,,,,
Austria,2017,Convictions per Capita,,,,
Austria,2017,Inflation,,,,
Austria,2017,Annual GDP,,,,
Austria,2018,FATFA Rating,,,,
Austria,2018,Number of SARs/STRs,,,,
Austria,2018,SARs/STRs per Capita,,,,
Austria,2018,Fine Volume,,,,
Austria,2018,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2018,Fine Count,,,,
Austria,2018,Fine Count per Capita,,,,
Austria,2018,Recovered Assets,,,,
Austria,2018,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2018,Conviction Count,,,,
Austria,2018,Convictions per Capita,,,,
Austria,2018,Inflation,,,,
Austria,2018,Annual GDP,,,,
Austria,2019,FATFA Rating,,,,
Austria,2019,Number of SARs/STRs,,,,
Austria,2019,SARs/STRs per Capita,,,,
Austria,2019,Fine Volume,,,,
Austria,2019,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2019,Fine Count,,,,
Austria,2019,Fine Count per Capita,,,,
Austria,2019,Recovered Assets,,,,
Austria,2019,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2019,Conviction Count,,,,
Austria,2019,Convictions per Capita,,,,
Austria,2019,Inflation,,,,
Austria,2019,Annual GDP,,,,
Austria,2020,FATFA Rating,,,,
Austria,2020,Number of SARs/STRs,,,,
Austria,2020,SARs/STRs per Capita,,,,
Austria,2020,Fine Volume,,,,
Austria,2020,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2020,Fine Count,,,,
Austria,2020,Fine Count per Capita,,,,
Austria,2020,Recovered Assets,,,,
Austria,2020,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2020,Conviction Count,,,,
Austria,2020,Convictions per Capita,,,,
Austria,2020,Inflation,,,,
Austria,2020,Annual GDP,,,,
Austria,2021,FATFA Rating,,,,
Austria,2021,Number of SARs/STRs,,,,
Austria,2021,SARs/STRs per Capita,,,,
Austria,2021,Fine Volume,,,,
Austria,2021,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2021,Fine Count,,,,
Austria,2021,Fine Count per Capita,,,,
Austria,2021,Recovered Assets,,,,
Austria,2021,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2021,Conviction Count,,,,
Austria,2021,Convictions per Capita,,,,
Austria,2021,Inflation,,,,
Austria,2021,Annual GDP,,,,
Austria,2022,FATFA Rating,,,,
Austria,2022,Number of SARs/STRs,,,,
Austria,2022,SARs/STRs per Capita,,,,
Austria,2022,Fine Volume,,,,
Austria,2022,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2022,Fine Count,,,,
Austria,2022,Fine Count per Capita,,,,
Austria,2022,Recovered Assets,,,,
Austria,2022,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2022,Conviction Count,,,,
Austria,2022,Convictions per Capita,,,,
Austria,2022,Inflation,,,,
Austria,2022,Annual GDP,,,,
Austria,2023,FATFA Rating,,,,
Austria,2023,Number of SARs/STRs,,,,
Austria,2023,SARs/STRs per Capita,,,,
Austria,2023,Fine Volume,,,,
Austria,2023,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2023,Fine Count,,,,
Austria,2023,Fine Count per Capita,,,,
Austria,2023,Recovered Assets,,,,
Austria,2023,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2023,Conviction Count,,,,
Austria,2023,Convictions per Capita,,,,
Austria,2023,Inflation,,,,
Austria,2023,Annual GDP,,,,
Austria,2024,FATFA Rating,,,,
Austria,2024,Number of SARs/STRs,,,,
Austria,2024,SARs/STRs per Capita,,,,
Austria,2024,Fine Volume,,,,
Austria,2024,Fine Volumen Inf. Adj. Pct of GDP,,,,
Austria,2024,Fine Count,,,,
Austria,2024,Fine Count per Capita,,,,
Austria,2024,Recovered Assets,,,,
Austria,2024,Recovered Assets Inf. Adj. Pct of GDP,,,,
Austria,2024,Conviction Count,,,,
Austria,2024,Convictions per Capita,,,,
Austria,2024,Inflation,,,,
Austria,2024,Annual GDP,,,,
Belgium,2014,FATFA Rating,,,,
Belgium,2014,Number of SARs/STRs,,,,
Belgium,2014,SARs/STRs per Capita,,,,
Belgium,2014,Fine Volume,,,,
Belgium,2014,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2014,Fine Count,,,,
Belgium,2014,Fine Count per Capita,,,,
Belgium,2014,Recovered Assets,,,,
Belgium,2014,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2014,Conviction Count,,,,
Belgium,2014,Convictions per Capita,,,,
Belgium,2014,Inflation,,,,
Belgium,2014,Annual GDP,,,,
Belgium,2015,FATFA Rating,,,,
Belgium,2015,Number of SARs/STRs,,,,
Belgium,2015,SARs/STRs per Capita,,,,
Belgium,2015,Fine Volume,,,,
Belgium,2015,Fine Volumen Inf. Adj. Pct of GDP,,,,
Belgium,2015,Fine Count,,,,
Belgium,2015,Fine Count per Capita,,,,
Belgium,2015,Recovered Assets,,,,
Belgium,2015,Recovered Assets Inf. Adj. Pct of GDP,,,,
Belgium,2015,Conviction Count,,,,
Belgium,2015,Convictions per Capita,,,,
